exam,q_no,category
60-62nd BPSC (Combined),4,Modern History
60-62nd BPSC (Combined),5,Bihar Special
60-62nd BPSC (Combined),6,Bihar Special
60-62nd BPSC (Combined),7,Modern History
60-62nd BPSC (Combined),8,Modern History
60-62nd BPSC (Combined),9,Bihar Special
60-62nd BPSC (Combined),10,Modern History
60-62nd BPSC (Combined),11,Bihar Special
60-62nd BPSC (Combined),12,Modern History
60-62nd BPSC (Combined),13,Modern History
60-62nd BPSC (Combined),14,Modern History
60-62nd BPSC (Combined),15,Modern History
60-62nd BPSC (Combined),16,Modern History
60-62nd BPSC (Combined),17,Modern History
60-62nd BPSC (Combined),18,Bihar Special
60-62nd BPSC (Combined),19,Modern History
60-62nd BPSC (Combined),20,Modern History
60-62nd BPSC (Combined),21,Math
60-62nd BPSC (Combined),22,Math
60-62nd BPSC (Combined),23,Math
60-62nd BPSC (Combined),24,Math
60-62nd BPSC (Combined),25,Math
60-62nd BPSC (Combined),26,Math
60-62nd BPSC (Combined),27,Math
60-62nd BPSC (Combined),28,Math
60-62nd BPSC (Combined),29,Math
60-62nd BPSC (Combined),30,Math
60-62nd BPSC (Combined),31,Biology
60-62nd BPSC (Combined),32,Chemistry
60-62nd BPSC (Combined),33,Biology
60-62nd BPSC (Combined),34,Biology
60-62nd BPSC (Combined),35,Biology
60-62nd BPSC (Combined),36,Chemistry
60-62nd BPSC (Combined),37,Biology
60-62nd BPSC (Combined),38,Chemistry
60-62nd BPSC (Combined),39,Biology
60-62nd BPSC (Combined),40,Chemistry
60-62nd BPSC (Combined),41,Chemistry
60-62nd BPSC (Combined),42,Chemistry
60-62nd BPSC (Combined),43,Biology
60-62nd BPSC (Combined),44,Biology
60-62nd BPSC (Combined),45,Biology
60-62nd BPSC (Combined),46,Biology
60-62nd BPSC (Combined),47,Chemistry
60-62nd BPSC (Combined),48,Chemistry
60-62nd BPSC (Combined),49,Physics
60-62nd BPSC (Combined),50,Physics
60-62nd BPSC (Combined),51,Current Affairs
60-62nd BPSC (Combined),52,Current Affairs
60-62nd BPSC (Combined),53,Current Affairs
60-62nd BPSC (Combined),54,Geography
60-62nd BPSC (Combined),55,Current Affairs
60-62nd BPSC (Combined),56,Geography
60-62nd BPSC (Combined),57,Current Affairs
60-62nd BPSC (Combined),58,Current Affairs
60-62nd BPSC (Combined),59,Current Affairs
60-62nd BPSC (Combined),60,Current Affairs
60-62nd BPSC (Combined),61,Current Affairs
60-62nd BPSC (Combined),62,Current Affairs
60-62nd BPSC (Combined),63,Current Affairs
60-62nd BPSC (Combined),64,Current Affairs
60-62nd BPSC (Combined),65,Current Affairs
60-62nd BPSC (Combined),66,Current Affairs
60-62nd BPSC (Combined),67,Economics
60-62nd BPSC (Combined),68,Current Affairs
60-62nd BPSC (Combined),69,Current Affairs
60-62nd BPSC (Combined),70,Current Affairs
60-62nd BPSC (Combined),71,Current Affairs
60-62nd BPSC (Combined),72,Current Affairs
60-62nd BPSC (Combined),73,Current Affairs
60-62nd BPSC (Combined),74,Bihar Special
60-62nd BPSC (Combined),75,Current Affairs
60-62nd BPSC (Combined),76,Current Affairs
60-62nd BPSC (Combined),77,Current Affairs
60-62nd BPSC (Combined),78,Current Affairs
60-62nd BPSC (Combined),79,Current Affairs
60-62nd BPSC (Combined),80,Current Affairs
60-62nd BPSC (Combined),81,Ancient History
60-62nd BPSC (Combined),82,Ancient History
60-62nd BPSC (Combined),83,Ancient History
60-62nd BPSC (Combined),84,Ancient History
60-62nd BPSC (Combined),85,Bihar Special
60-62nd BPSC (Combined),86,Medieval
60-62nd BPSC (Combined),87,Medieval
60-62nd BPSC (Combined),88,Medieval
60-62nd BPSC (Combined),89,Medieval
60-62nd BPSC (Combined),90,Modern History
60-62nd BPSC (Combined),91,Bihar Special
60-62nd BPSC (Combined),92,Modern History
60-62nd BPSC (Combined),93,Modern History
60-62nd BPSC (Combined),94,Modern History
60-62nd BPSC (Combined),95,Bihar Special
60-62nd BPSC (Combined),96,Bihar Special
60-62nd BPSC (Combined),97,Bihar Special
60-62nd BPSC (Combined),98,Bihar Special
60-62nd BPSC (Combined),99,Bihar Special
60-62nd BPSC (Combined),100,Bihar Special
60-62nd BPSC (Combined),101,Geography
60-62nd BPSC (Combined),102,Geography
60-62nd BPSC (Combined),103,Geography
60-62nd BPSC (Combined),104,Geography
60-62nd BPSC (Combined),105,Geography
60-62nd BPSC (Combined),106,Geography
60-62nd BPSC (Combined),107,Geography
60-62nd BPSC (Combined),108,Geography
60-62nd BPSC (Combined),109,Geography
60-62nd BPSC (Combined),110,Geography
60-62nd BPSC (Combined),111,Geography
60-62nd BPSC (Combined),112,Geography
60-62nd BPSC (Combined),113,Geography
60-62nd BPSC (Combined),114,Bihar Special
60-62nd BPSC (Combined),115,Geography
60-62nd BPSC (Combined),116,Bihar Special
60-62nd BPSC (Combined),117,Bihar Special
60-62nd BPSC (Combined),118,Bihar Special
60-62nd BPSC (Combined),119,Bihar Special
60-62nd BPSC (Combined),120,Bihar Special
60-62nd BPSC (Combined),121,Polity
60-62nd BPSC (Combined),122,Polity
60-62nd BPSC (Combined),123,Polity
60-62nd BPSC (Combined),124,Polity
60-62nd BPSC (Combined),125,Polity
60-62nd BPSC (Combined),126,Polity
60-62nd BPSC (Combined),127,Polity
60-62nd BPSC (Combined),128,Polity
60-62nd BPSC (Combined),129,Polity
60-62nd BPSC (Combined),130,Polity
60-62nd BPSC (Combined),131,Polity
60-62nd BPSC (Combined),132,Polity
60-62nd BPSC (Combined),133,Economics
60-62nd BPSC (Combined),134,Economics
60-62nd BPSC (Combined),135,Economics
60-62nd BPSC (Combined),136,Geography
60-62nd BPSC (Combined),137,Economics
60-62nd BPSC (Combined),138,Geography
60-62nd BPSC (Combined),139,Economics
60-62nd BPSC (Combined),140,Economics
60-62nd BPSC (Combined),141,Economics
60-62nd BPSC (Combined),142,Geography
60-62nd BPSC (Combined),143,Bihar Special
60-62nd BPSC (Combined),144,Polity
60-62nd BPSC (Combined),145,Economics
60-62nd BPSC (Combined),146,Bihar Special
60-62nd BPSC (Combined),147,Bihar Special
60-62nd BPSC (Combined),148,Bihar Special
60-62nd BPSC (Combined),149,Bihar Special
60-62nd BPSC (Combined),150,Bihar Special
63rd BPSC,1,Polity
63rd BPSC,2,Polity
63rd BPSC,3,Polity
63rd BPSC,4,Polity
63rd BPSC,5,Polity
63rd BPSC,6,Polity
63rd BPSC,7,Polity
63rd BPSC,8,Polity
63rd BPSC,9,Polity
63rd BPSC,10,Polity
63rd BPSC,11,Polity
63rd BPSC,12,Polity
63rd BPSC,13,Economics
63rd BPSC,14,Economics
63rd BPSC,15,Economics
63rd BPSC,16,Economics
63rd BPSC,17,Current Affairs
63rd BPSC,18,Economics
63rd BPSC,19,Economics
63rd BPSC,20,Economics
63rd BPSC,21,Economics
63rd BPSC,22,Economics
63rd BPSC,23,Bihar Special
63rd BPSC,24,Economics
63rd BPSC,25,Geography
63rd BPSC,26,Bihar Special
63rd BPSC,27,Economics
63rd BPSC,28,Bihar Special
63rd BPSC,29,Geography
63rd BPSC,30,Bihar Special
63rd BPSC,31,Geography
63rd BPSC,32,Geography
63rd BPSC,33,Geography
63rd BPSC,34,Economics
63rd BPSC,35,Geography
63rd BPSC,36,Geography
63rd BPSC,37,Geography
63rd BPSC,38,Geography
63rd BPSC,39,Geography
63rd BPSC,40,Geography
63rd BPSC,41,Geography
63rd BPSC,42,Geography
63rd BPSC,43,Geography
63rd BPSC,44,Bihar Special
63rd BPSC,45,Bihar Special
63rd BPSC,46,Bihar Special
63rd BPSC,47,Bihar Special
63rd BPSC,48,Bihar Special
63rd BPSC,49,Bihar Special
63rd BPSC,50,Bihar Special
63rd BPSC,51,Bihar Special
63rd BPSC,52,Bihar Special
63rd BPSC,53,Bihar Special
63rd BPSC,54,Bihar Special
63rd BPSC,55,Bihar Special
63rd BPSC,56,Bihar Special
63rd BPSC,57,Modern History
63rd BPSC,58,Bihar Special
63rd BPSC,59,Modern History
63rd BPSC,60,Modern History
63rd BPSC,61,Modern History
63rd BPSC,62,Modern History
63rd BPSC,63,Modern History
63rd BPSC,64,Modern History
63rd BPSC,65,Modern History
63rd BPSC,66,Modern History
63rd BPSC,67,Modern History
63rd BPSC,68,Modern History
63rd BPSC,69,Modern History
63rd BPSC,70,Modern History
63rd BPSC,71,Math
63rd BPSC,72,Math
63rd BPSC,73,Math
63rd BPSC,74,Math
63rd BPSC,75,Math
63rd BPSC,76,Math
63rd BPSC,77,Math
63rd BPSC,78,Math
63rd BPSC,79,Math
63rd BPSC,80,Math
63rd BPSC,81,Chemistry
63rd BPSC,82,Chemistry
63rd BPSC,83,Chemistry
63rd BPSC,84,Chemistry
63rd BPSC,85,Physics
63rd BPSC,86,Chemistry
63rd BPSC,87,Biology
63rd BPSC,88,Chemistry
63rd BPSC,89,Chemistry
63rd BPSC,90,Chemistry
63rd BPSC,91,Biology
63rd BPSC,92,Biology
63rd BPSC,93,Biology
63rd BPSC,94,Chemistry
63rd BPSC,95,Chemistry
63rd BPSC,96,Chemistry
63rd BPSC,97,Chemistry
63rd BPSC,98,Chemistry
63rd BPSC,99,Chemistry
63rd BPSC,100,Chemistry
63rd BPSC,101,Current Affairs
63rd BPSC,102,Current Affairs
63rd BPSC,103,Current Affairs
63rd BPSC,104,Current Affairs
63rd BPSC,105,Current Affairs
63rd BPSC,106,Current Affairs
63rd BPSC,107,Current Affairs
63rd BPSC,108,Current Affairs
63rd BPSC,109,Current Affairs
63rd BPSC,110,Current Affairs
63rd BPSC,111,Current Affairs
63rd BPSC,112,Current Affairs
63rd BPSC,113,Current Affairs
63rd BPSC,114,Current Affairs
63rd BPSC,115,Current Affairs
63rd BPSC,116,Current Affairs
63rd BPSC,117,Current Affairs
63rd BPSC,118,Current Affairs
63rd BPSC,119,Current Affairs
63rd BPSC,120,Current Affairs
63rd BPSC,121,Current Affairs
63rd BPSC,122,Bihar Special
63rd BPSC,123,Bihar Special
63rd BPSC,124,Current Affairs
63rd BPSC,125,Current Affairs
63rd BPSC,126,Current Affairs
63rd BPSC,127,Current Affairs
63rd BPSC,128,Bihar Special
63rd BPSC,129,Current Affairs
63rd BPSC,130,Current Affairs
63rd BPSC,131,Ancient History
63rd BPSC,132,Ancient History
63rd BPSC,133,Ancient History
63rd BPSC,134,Ancient History
63rd BPSC,135,Ancient History
63rd BPSC,136,Ancient History
63rd BPSC,137,Ancient History
63rd BPSC,138,Medieval
63rd BPSC,139,Medieval
63rd BPSC,140,Medieval
63rd BPSC,141,Medieval
63rd BPSC,142,Medieval
63rd BPSC,143,Medieval
63rd BPSC,144,Medieval
63rd BPSC,145,Modern History
63rd BPSC,146,Modern History
63rd BPSC,147,Modern History
63rd BPSC,148,Modern History
63rd BPSC,149,Bihar Special
63rd BPSC,150,Bihar Special
64th BPSC,1,Chemistry
64th BPSC,2,Chemistry
64th BPSC,3,Physics
64th BPSC,4,Physics
64th BPSC,5,Biology
64th BPSC,6,Biology
64th BPSC,7,Biology
64th BPSC,8,Biology
64th BPSC,9,Physics
64th BPSC,10,Physics
64th BPSC,11,Physics
64th BPSC,12,Physics
64th BPSC,13,Biology
64th BPSC,14,Physics
64th BPSC,15,Chemistry
64th BPSC,16,Physics
64th BPSC,17,Biology
64th BPSC,18,Biology
64th BPSC,19,Physics
64th BPSC,20,Physics
64th BPSC,21,Current Affairs
64th BPSC,22,Current Affairs
64th BPSC,23,Current Affairs
64th BPSC,24,Current Affairs
64th BPSC,25,Current Affairs
64th BPSC,26,Current Affairs
64th BPSC,27,Current Affairs
64th BPSC,28,Current Affairs
64th BPSC,29,Current Affairs
64th BPSC,30,Current Affairs
64th BPSC,31,Current Affairs
64th BPSC,32,Current Affairs
64th BPSC,33,Current Affairs
64th BPSC,34,Current Affairs
64th BPSC,35,Current Affairs
64th BPSC,36,Current Affairs
64th BPSC,37,Current Affairs
64th BPSC,38,Current Affairs
64th BPSC,39,Current Affairs
64th BPSC,40,Current Affairs
64th BPSC,41,Current Affairs
64th BPSC,42,Bihar Special
64th BPSC,43,Bihar Special
64th BPSC,44,Bihar Special
64th BPSC,45,Bihar Special
64th BPSC,46,Bihar Special
64th BPSC,47,Current Affairs
64th BPSC,48,Bihar Special
64th BPSC,49,Bihar Special
64th BPSC,50,Bihar Special
64th BPSC,51,Ancient History
64th BPSC,52,Ancient History
64th BPSC,53,Ancient History
64th BPSC,54,Ancient History
64th BPSC,55,Bihar Special
64th BPSC,56,Ancient History
64th BPSC,57,Bihar Special
64th BPSC,58,Medieval
64th BPSC,59,Medieval
64th BPSC,60,Medieval
64th BPSC,61,Medieval
64th BPSC,62,Medieval
64th BPSC,63,Modern History
64th BPSC,64,Modern History
64th BPSC,65,Modern History
64th BPSC,66,Bihar Special
64th BPSC,67,Bihar Special
64th BPSC,68,Modern History
64th BPSC,69,Bihar Special
64th BPSC,70,Bihar Special
64th BPSC,71,Geography
64th BPSC,72,Geography
64th BPSC,73,Geography
64th BPSC,74,Geography
64th BPSC,75,Geography
64th BPSC,76,Geography
64th BPSC,77,Geography
64th BPSC,78,Geography
64th BPSC,79,Geography
64th BPSC,80,Economics
64th BPSC,81,Polity
64th BPSC,82,Geography
64th BPSC,83,Geography
64th BPSC,84,Bihar Special
64th BPSC,85,Bihar Special
64th BPSC,86,Bihar Special
64th BPSC,87,Bihar Special
64th BPSC,88,Bihar Special
64th BPSC,89,Bihar Special
64th BPSC,90,Bihar Special
64th BPSC,91,Polity
64th BPSC,92,Polity
64th BPSC,93,Polity
64th BPSC,94,Polity
64th BPSC,95,Polity
64th BPSC,96,Polity
64th BPSC,97,Polity
64th BPSC,98,Polity
64th BPSC,99,Polity
64th BPSC,100,Polity
64th BPSC,101,Polity
64th BPSC,102,Polity
64th BPSC,103,Economics
64th BPSC,104,Economics
64th BPSC,105,Economics
64th BPSC,106,Economics
64th BPSC,107,Economics
64th BPSC,108,Economics
64th BPSC,109,Current Affairs
