exam,q_no,category
66th BPSC,106,Current Affairs
66th BPSC,107,Polity
66th BPSC,108,Bihar Special
66th BPSC,109,Polity
66th BPSC,110,Modern History
66th BPSC,111,Economics
66th BPSC,125,Bihar Special
66th BPSC,126,Modern History
66th BPSC,127,Modern History
66th BPSC,128,Modern History
66th BPSC,129,Modern History
66th BPSC,130,Modern History
66th BPSC,131,Modern History
66th BPSC,132,Modern History
66th BPSC,133,Modern History
66th BPSC,134,Modern History
66th BPSC,135,Modern History
66th BPSC,136,Bihar Special
66th BPSC,137,Bihar Special
66th BPSC,138,Bihar Special
66th BPSC,139,Bihar Special
66th BPSC,140,Bihar Special
66th BPSC,141,Math
66th BPSC,142,Math
66th BPSC,143,Math
66th BPSC,144,Math
66th BPSC,145,Math
66th BPSC,146,Math
66th BPSC,147,Math
66th BPSC,148,Math
66th BPSC,149,Math
66th BPSC,150,Math
67th BPSC,1,Polity
67th BPSC,2,Polity
67th BPSC,3,Polity
67th BPSC,4,Polity
67th BPSC,5,Polity
67th BPSC,6,Polity
67th BPSC,7,Polity
67th BPSC,8,Polity
67th BPSC,9,Polity
67th BPSC,10,Polity
67th BPSC,11,Economics
67th BPSC,12,Economics
67th BPSC,13,Current Affairs
67th BPSC,14,Bihar Special
67th BPSC,15,Bihar Special
67th BPSC,16,Bihar Special
67th BPSC,17,Bihar Special
67th BPSC,18,Bihar Special
67th BPSC,19,Economics
67th BPSC,20,Economics
67th BPSC,21,Economics
67th BPSC,22,Economics
67th BPSC,23,Economics
67th BPSC,24,Current Affairs
67th BPSC,25,Economics
67th BPSC,26,Modern History
67th BPSC,27,Modern History
67th BPSC,28,Modern History
67th BPSC,29,Bihar Special
67th BPSC,30,Modern History
67th BPSC,31,Bihar Special
67th BPSC,32,Modern History
67th BPSC,33,Modern History
67th BPSC,34,Modern History
67th BPSC,35,Modern History
67th BPSC,36,Modern History
67th BPSC,37,Modern History
67th BPSC,38,Modern History
67th BPSC,39,Modern History
67th BPSC,40,Modern History
67th BPSC,41,Math
67th BPSC,42,Math
67th BPSC,43,Math
67th BPSC,44,Math
67th BPSC,45,Math
67th BPSC,46,Math
67th BPSC,47,Math
67th BPSC,48,Math
67th BPSC,49,Math
67th BPSC,50,Math
67th BPSC,51,Chemistry
67th BPSC,52,Chemistry
67th BPSC,53,Chemistry
67th BPSC,54,Chemistry
67th BPSC,55,Biology
67th BPSC,56,Biology
67th BPSC,57,Biology
67th BPSC,58,Biology
67th BPSC,59,Biology
67th BPSC,60,Biology
67th BPSC,61,Biology
67th BPSC,62,Biology
67th BPSC,63,Biology
67th BPSC,64,Biology
67th BPSC,65,Physics
67th BPSC,66,Physics
67th BPSC,67,Physics
67th BPSC,68,Physics
67th BPSC,69,Physics
67th BPSC,70,Chemistry
67th BPSC,71,Physics
67th BPSC,72,Physics
67th BPSC,73,Physics
67th BPSC,74,Physics
67th BPSC,75,Chemistry
67th BPSC,76,Chemistry
67th BPSC,77,Chemistry
67th BPSC,78,Chemistry
67th BPSC,79,Chemistry
67th BPSC,80,Chemistry
67th BPSC,81,Current Affairs
67th BPSC,82,Current Affairs
67th BPSC,83,Current Affairs
67th BPSC,84,Current Affairs
67th BPSC,85,Current Affairs
67th BPSC,86,Bihar Special
67th BPSC,87,Bihar Special
67th BPSC,88,Bihar Special
67th BPSC,89,Bihar Special
67th BPSC,90,Bihar Special
67th BPSC,91,Bihar Special
67th BPSC,92,Bihar Special
67th BPSC,93,Bihar Special
67th BPSC,94,Bihar Special
67th BPSC,95,Bihar Special
67th BPSC,96,Current Affairs
67th BPSC,97,Current Affairs
67th BPSC,98,Current Affairs
67th BPSC,99,Current Affairs
67th BPSC,100,Current Affairs
67th BPSC,101,Current Affairs
67th BPSC,102,Current Affairs
67th BPSC,103,Current Affairs
67th BPSC,104,Current Affairs
67th BPSC,105,Current Affairs
67th BPSC,106,Current Affairs
67th BPSC,107,Current Affairs
67th BPSC,108,Current Affairs
67th BPSC,109,Current Affairs
67th BPSC,110,Current Affairs
67th BPSC,111,Modern History
67th BPSC,112,Modern History
67th BPSC,113,Modern History
67th BPSC,114,Modern History
67th BPSC,115,Modern History
67th BPSC,116,Ancient History
67th BPSC,117,Bihar Special
67th BPSC,118,Bihar Special
67th BPSC,119,Bihar Special
67th BPSC,120,Bihar Special
67th BPSC,121,Bihar Special
67th BPSC,122,Ancient History
67th BPSC,123,Ancient History
67th BPSC,124,Medieval
67th BPSC,125,Ancient History
67th BPSC,126,Medieval
67th BPSC,127,Medieval
67th BPSC,128,Medieval
67th BPSC,129,Medieval
67th BPSC,130,Modern History
67th BPSC,131,Geography
67th BPSC,132,Geography
67th BPSC,133,Geography
67th BPSC,134,Bihar Special
67th BPSC,135,Bihar Special
67th BPSC,136,Bihar Special
67th BPSC,137,Bihar Special
67th BPSC,138,Bihar Special
67th BPSC,139,Bihar Special
67th BPSC,140,Bihar Special
67th BPSC,141,Geography
67th BPSC,142,Geography
67th BPSC,143,Geography
67th BPSC,144,Geography
67th BPSC,145,Geography
67th BPSC,146,Geography
67th BPSC,147,Geography
67th BPSC,148,Geography
67th BPSC,149,Geography
67th BPSC,150,Geography
68th BPSC,1,Polity
68th BPSC,2,Polity
68th BPSC,3,Polity
68th BPSC,4,Polity
68th BPSC,5,Polity
68th BPSC,6,Polity
68th BPSC,7,Polity
68th BPSC,8,Polity
68th BPSC,9,Polity
68th BPSC,10,Polity
68th BPSC,11,Economics
68th BPSC,12,Economics
68th BPSC,13,Economics
68th BPSC,14,Economics
68th BPSC,15,Economics
68th BPSC,16,Current Affairs
68th BPSC,17,Economics
68th BPSC,18,Economics
68th BPSC,19,Economics
68th BPSC,20,Current Affairs
68th BPSC,21,Bihar Special
68th BPSC,22,Bihar Special
68th BPSC,23,Bihar Special
68th BPSC,24,Bihar Special
68th BPSC,25,Bihar Special
68th BPSC,26,Modern History
68th BPSC,27,Modern History
68th BPSC,28,Modern History
68th BPSC,29,Modern History
68th BPSC,30,Modern History
68th BPSC,31,Modern History
68th BPSC,32,Modern History
68th BPSC,33,Modern History
68th BPSC,34,Modern History
68th BPSC,35,Modern History
68th BPSC,36,Bihar Special
68th BPSC,37,Bihar Special
68th BPSC,38,Bihar Special
68th BPSC,39,Bihar Special
68th BPSC,40,Bihar Special
68th BPSC,41,Ancient History
68th BPSC,42,Ancient History
68th BPSC,43,Ancient History
68th BPSC,44,Ancient History
68th BPSC,45,Medieval
68th BPSC,46,Medieval
68th BPSC,47,Medieval
68th BPSC,48,Medieval
68th BPSC,49,Bihar Special
68th BPSC,50,Modern History
68th BPSC,51,Modern History
68th BPSC,52,Modern History
68th BPSC,53,Modern History
68th BPSC,54,Modern History
68th BPSC,55,Bihar Special
68th BPSC,56,Bihar Special
68th BPSC,57,Bihar Special
68th BPSC,58,Bihar Special
68th BPSC,59,Bihar Special
68th BPSC,60,Bihar Special
68th BPSC,61,Current Affairs
68th BPSC,62,Current Affairs
68th BPSC,63,Current Affairs
68th BPSC,64,Current Affairs
68th BPSC,65,Current Affairs
68th BPSC,66,Current Affairs
68th BPSC,67,Current Affairs
68th BPSC,68,Current Affairs
68th BPSC,69,Current Affairs
68th BPSC,70,Current Affairs
68th BPSC,71,Current Affairs
68th BPSC,72,Current Affairs
68th BPSC,73,Current Affairs
68th BPSC,74,Current Affairs
68th BPSC,75,Current Affairs
68th BPSC,76,Current Affairs
68th BPSC,77,Current Affairs
68th BPSC,78,Current Affairs
68th BPSC,79,Current Affairs
68th BPSC,80,Current Affairs
68th BPSC,81,Bihar Special
68th BPSC,82,Bihar Special
68th BPSC,83,Bihar Special
68th BPSC,84,Current Affairs
68th BPSC,85,Bihar Special
68th BPSC,86,Current Affairs
68th BPSC,87,Bihar Special
68th BPSC,88,Bihar Special
68th BPSC,89,Current Affairs
68th BPSC,90,Bihar Special
68th BPSC,91,Geography
68th BPSC,92,Geography
68th BPSC,93,Geography
68th BPSC,94,Geography
68th BPSC,95,Geography
68th BPSC,96,Geography
68th BPSC,97,Geography
68th BPSC,98,Geography
68th BPSC,99,Geography
68th BPSC,100,Geography
68th BPSC,101,Geography
68th BPSC,102,Geography
68th BPSC,103,Geography
68th BPSC,104,Bihar Special
68th BPSC,105,Bihar Special
68th BPSC,106,Bihar Special
68th BPSC,107,Bihar Special
68th BPSC,108,Bihar Special
68th BPSC,109,Bihar Special
68th BPSC,110,Bihar Special
68th BPSC,111,Physics
68th BPSC,112,Physics
68th BPSC,113,Physics
68th BPSC,114,Physics
68th BPSC,115,Physics
68th BPSC,116,Physics
68th BPSC,117,Physics
68th BPSC,118,Physics
68th BPSC,119,Physics
68th BPSC,120,Physics
68th BPSC,121,Chemistry
68th BPSC,122,Chemistry
68th BPSC,123,Chemistry
68th BPSC,124,Chemistry
68th BPSC,125,Chemistry
68th BPSC,126,Chemistry
68th BPSC,127,Chemistry
68th BPSC,128,Chemistry
68th BPSC,129,Chemistry
68th BPSC,130,Chemistry
68th BPSC,131,Biology
68th BPSC,132,Biology
68th BPSC,133,Biology
68th BPSC,134,Biology
68th BPSC,135,Biology
68th BPSC,136,Biology
68th BPSC,137,Biology
68th BPSC,138,Biology
68th BPSC,139,Biology
68th BPSC,140,Biology
68th BPSC,141,Math
68th BPSC,142,Math
68th BPSC,143,Math
68th BPSC,144,Math
68th BPSC,145,Math
68th BPSC,146,Math
68th BPSC,147,Math
68th BPSC,148,Math
68th BPSC,149,Math
68th BPSC,150,Math
69th BPSC,1,Current Affairs
69th BPSC,2,Current Affairs
69th BPSC,3,Biology
69th BPSC,4,Biology
69th BPSC,5,Miscellaneous
69th BPSC,6,Current Affairs
69th BPSC,7,Biology
69th BPSC,8,Biology
69th BPSC,9,Physics
69th BPSC,10,Chemistry
69th BPSC,11,Chemistry
69th BPSC,12,Chemistry
69th BPSC,13,Current Affairs
69th BPSC,14,Physics
69th BPSC,15,Physics
69th BPSC,16,Physics
69th BPSC,17,Chemistry
69th BPSC,18,Biology
69th BPSC,19,Chemistry
69th BPSC,20,Biology
69th BPSC,21,Physics
69th BPSC,22,Biology
69th BPSC,23,Geography
69th BPSC,24,Geography
69th BPSC,25,Biology
69th BPSC,26,Physics
69th BPSC,27,Physics
69th BPSC,28,Chemistry
69th BPSC,29,Chemistry
69th BPSC,30,Biology
69th BPSC,31,Current Affairs
69th BPSC,32,Current Affairs
69th BPSC,33,Current Affairs
69th BPSC,34,Current Affairs
69th BPSC,35,Current Affairs
69th BPSC,36,Current Affairs
69th BPSC,37,Current Affairs
69th BPSC,38,Current Affairs
69th BPSC,39,Current Affairs
69th BPSC,40,Current Affairs
69th BPSC,41,Current Affairs
69th BPSC,42,Current Affairs
69th BPSC,43,Current Affairs
69th BPSC,44,Current Affairs
69th BPSC,45,Current Affairs
69th BPSC,46,Current Affairs
69th BPSC,47,Current Affairs
69th BPSC,48,Current Affairs
69th BPSC,49,Current Affairs
69th BPSC,50,Current Affairs
69th BPSC,51,Current Affairs
69th BPSC,52,Current Affairs
69th BPSC,53,Current Affairs
69th BPSC,54,Current Affairs
69th BPSC,55,Ancient History
69th BPSC,56,Geography
69th BPSC,57,Polity
69th BPSC,58,Polity
69th BPSC,59,Economics
69th BPSC,60,Bihar Special
69th BPSC,61,Ancient History
69th BPSC,62,Bihar Special
69th BPSC,63,Bihar Special
69th BPSC,64,Medieval
69th BPSC,65,Medieval
69th BPSC,66,Medieval
69th BPSC,67,Ancient History
69th BPSC,68,Ancient History
69th BPSC,69,Ancient History
69th BPSC,70,Medieval
69th BPSC,71,Medieval
69th BPSC,72,Modern History
69th BPSC,73,Bihar Special
69th BPSC,74,Ancient History
69th BPSC,75,Modern History
69th BPSC,76,Modern History
69th BPSC,77,Ancient History
69th BPSC,78,Medieval
69th BPSC,79,Ancient History
69th BPSC,80,Bihar Special
69th BPSC,81,Geography
69th BPSC,82,Geography
69th BPSC,83,Geography
69th BPSC,84,Geography
69th BPSC,85,Geography
69th BPSC,86,Bihar Special
69th BPSC,87,Geography
69th BPSC,88,Bihar Special
69th BPSC,89,Bihar Special
69th BPSC,90,Bihar Special
69th BPSC,91,Geography
69th BPSC,92,Geography
69th BPSC,93,Geography
69th BPSC,94,Geography
69th BPSC,95,Geography
69th BPSC,96,Geography
69th BPSC,97,Bihar Special
69th BPSC,98,Geography
69th BPSC,99,Geography
69th BPSC,100,Geography
69th BPSC,101,Polity
69th BPSC,102,Polity
69th BPSC,103,Polity
69th BPSC,104,Polity
69th BPSC,105,Polity
69th BPSC,106,Polity
69th BPSC,107,Polity
69th BPSC,108,Polity
69th BPSC,109,Polity
69th BPSC,110,Polity
69th BPSC,111,Economics
69th BPSC,112,Economics
69th BPSC,113,Economics
69th BPSC,114,Economics
69th BPSC,115,Economics
69th BPSC,116,Economics
69th BPSC,117,Economics
69th BPSC,118,Economics
69th BPSC,119,Polity
69th BPSC,120,Economics
69th BPSC,121,Economics
69th BPSC,122,Bihar Special
69th BPSC,123,Economics
69th BPSC,124,Economics
69th BPSC,125,Economics
69th BPSC,126,Modern History
69th BPSC,127,Bihar Special
69th BPSC,128,Bihar Special
69th BPSC,129,Modern History
69th BPSC,130,Modern History
69th BPSC,131,Modern History
69th BPSC,132,Bihar Special
69th BPSC,133,Modern History
69th BPSC,134,Bihar Special
69th BPSC,135,Bihar Special
69th BPSC,136,Modern History
69th BPSC,137,Modern History
69th BPSC,138,Modern History
69th BPSC,139,Modern History
69th BPSC,140,Modern History
69th BPSC,141,Math
69th BPSC,142,Math
69th BPSC,143,Math
69th BPSC,144,Math
69th BPSC,145,Math
69th BPSC,146,Math
69th BPSC,147,Math
69th BPSC,148,Math
69th BPSC,149,Math
69th BPSC,150,Math
70th BPSC,1,Chemistry
70th BPSC,2,Geography
70th BPSC,3,Biology
70th BPSC,4,Medieval
70th BPSC,5,Current Affairs
70th BPSC,6,Physics
70th BPSC,7,Polity
70th BPSC,8,Math
70th BPSC,9,Geography
70th BPSC,10,Current Affairs
70th BPSC,11,Current Affairs
70th BPSC,12,Current Affairs
70th BPSC,13,Medieval
70th BPSC,14,Economics
70th BPSC,15,Physics
70th BPSC,16,Geography
70th BPSC,17,Current Affairs
70th BPSC,18,Geography
70th BPSC,19,Medieval
70th BPSC,20,Chemistry
70th BPSC,21,Current Affairs
70th BPSC,22,Bihar Special
70th BPSC,23,Math
70th BPSC,24,Geography
70th BPSC,25,Modern History
70th BPSC,26,Current Affairs
70th BPSC,27,Economics
70th BPSC,28,Geography
70th BPSC,29,Bihar Special
70th BPSC,30,Current Affairs
70th BPSC,31,Chemistry
70th BPSC,32,Medieval
70th BPSC,33,Bihar Special
70th BPSC,34,Modern History
70th BPSC,35,Current Affairs
70th BPSC,36,Bihar Special
70th BPSC,37,Math
70th BPSC,38,Economics
70th BPSC,39,Bihar Special
70th BPSC,40,Chemistry
70th BPSC,41,Biology
70th BPSC,42,Current Affairs
70th BPSC,43,Modern History
70th BPSC,44,Math
70th BPSC,45,Physics
70th BPSC,46,Ancient History
70th BPSC,47,Bihar Special
70th BPSC,48,Bihar Special
70th BPSC,49,Economics
70th BPSC,50,Current Affairs
70th BPSC,51,Chemistry
70th BPSC,52,Math
70th BPSC,53,Geography
70th BPSC,54,Economics
70th BPSC,55,Bihar Special
70th BPSC,56,Biology
70th BPSC,57,Modern History
70th BPSC,58,Geography
70th BPSC,59,Current Affairs
70th BPSC,60,Current Affairs
70th BPSC,61,Geography
70th BPSC,62,Math
70th BPSC,63,Chemistry
70th BPSC,64,Economics
70th BPSC,65,Modern History
70th BPSC,66,Biology
70th BPSC,67,Ancient History
70th BPSC,68,Geography
70th BPSC,69,Bihar Special
70th BPSC,70,Physics
70th BPSC,71,Math
70th BPSC,72,Current Affairs
70th BPSC,73,Current Affairs
70th BPSC,74,Geography
70th BPSC,75,Economics
70th BPSC,76,Modern History
70th BPSC,77,Modern History
70th BPSC,78,Current Affairs
70th BPSC,79,Biology
70th BPSC,80,Math
70th BPSC,81,Current Affairs
70th BPSC,82,Bihar Special
70th BPSC,83,Ancient History
70th BPSC,84,Polity
70th BPSC,85,Physics
70th BPSC,86,Math
70th BPSC,87,Ancient History
70th BPSC,88,Modern History
70th BPSC,89,Current Affairs
70th BPSC,90,Bihar Special
70th BPSC,91,Bihar Special
70th BPSC,92,Math
70th BPSC,93,Chemistry
70th BPSC,94,Polity
70th BPSC,95,Geography
70th BPSC,96,Polity
70th BPSC,97,Current Affairs
70th BPSC,98,Bihar Special
70th BPSC,99,Bihar Special
70th BPSC,100,Modern History
70th BPSC,101,Current Affairs
70th BPSC,102,Bihar Special
70th BPSC,103,Bihar Special
70th BPSC,104,Physics
70th BPSC,105,Polity
70th BPSC,106,Bihar Special
70th BPSC,107,Current Affairs
70th BPSC,108,Chemistry
70th BPSC,109,Polity
70th BPSC,110,Bihar Special
70th BPSC,111,Bihar Special
70th BPSC,112,Modern History
70th BPSC,113,Physics
70th BPSC,114,Modern History
70th BPSC,115,Polity
70th BPSC,116,Bihar Special
70th BPSC,117,Current Affairs
70th BPSC,118,Current Affairs
70th BPSC,119,Bihar Special
70th BPSC,120,Biology
70th BPSC,121,Modern History
70th BPSC,122,Modern History
70th BPSC,123,Physics
70th BPSC,124,Bihar Special
70th BPSC,125,Polity
70th BPSC,126,Bihar Special
70th BPSC,127,Bihar Special
70th BPSC,128,Biology
70th BPSC,129,Bihar Special
70th BPSC,130,Modern History
70th BPSC,131,Economics
70th BPSC,132,Modern History
70th BPSC,133,Current Affairs
70th BPSC,134,Biology
70th BPSC,135,Polity
70th BPSC,136,Polity
70th BPSC,137,Current Affairs
70th BPSC,138,Modern History
70th BPSC,139,Chemistry
70th BPSC,140,Geography
70th BPSC,141,Polity
70th BPSC,142,Current Affairs
70th BPSC,143,Biology
70th BPSC,144,Economics
70th BPSC,145,Current Affairs
70th BPSC,146,Bihar Special
70th BPSC,147,Polity
70th BPSC,148,Chemistry
70th BPSC,149,Bihar Special
70th BPSC,150,Chemistry
71st BPSC (2025),1,Math
71st BPSC (2025),2,Math
71st BPSC (2025),3,Math
71st BPSC (2025),4,Math
71st BPSC (2025),5,Math
71st BPSC (2025),6,Math
71st BPSC (2025),7,Math
71st BPSC (2025),8,Math
71st BPSC (2025),9,Math
71st BPSC (2025),10,Math
71st BPSC (2025),11,Bihar Special
71st BPSC (2025),12,Bihar Special
71st BPSC (2025),13,Current Affairs
71st BPSC (2025),14,Bihar Special
71st BPSC (2025),15,Current Affairs
71st BPSC (2025),16,Current Affairs
71st BPSC (2025),17,Geography
71st BPSC (2025),18,Current Affairs
71st BPSC (2025),19,Current Affairs
71st BPSC (2025),20,Current Affairs
71st BPSC (2025),21,Current Affairs
71st BPSC (2025),22,Current Affairs
71st BPSC (2025),23,Current Affairs
71st BPSC (2025),24,Current Affairs
71st BPSC (2025),25,Current Affairs
71st BPSC (2025),26,Current Affairs
71st BPSC (2025),27,Current Affairs
71st BPSC (2025),28,Current Affairs
71st BPSC (2025),29,Current Affairs
71st BPSC (2025),30,Current Affairs
71st BPSC (2025),31,Current Affairs
71st BPSC (2025),32,Current Affairs
71st BPSC (2025),33,Current Affairs
71st BPSC (2025),34,Current Affairs
71st BPSC (2025),35,Geography
71st BPSC (2025),36,Economics
71st BPSC (2025),37,Economics
71st BPSC (2025),38,Geography
71st BPSC (2025),39,Economics
71st BPSC (2025),40,Current Affairs
71st BPSC (2025),41,Current Affairs
71st BPSC (2025),42,Current Affairs
71st BPSC (2025),43,Economics
71st BPSC (2025),44,Economics
71st BPSC (2025),45,Economics
71st BPSC (2025),46,Current Affairs
71st BPSC (2025),47,Economics
71st BPSC (2025),48,Current Affairs
71st BPSC (2025),49,Economics
71st BPSC (2025),50,Economics
71st BPSC (2025),51,Bihar Special
71st BPSC (2025),52,Bihar Special
71st BPSC (2025),53,Bihar Special
71st BPSC (2025),54,Bihar Special
71st BPSC (2025),55,Bihar Special
71st BPSC (2025),56,Polity
71st BPSC (2025),57,Polity
71st BPSC (2025),58,Polity
71st BPSC (2025),59,Polity
71st BPSC (2025),60,Polity
71st BPSC (2025),61,Polity
71st BPSC (2025),62,Polity
71st BPSC (2025),63,Polity
71st BPSC (2025),64,Polity
71st BPSC (2025),65,Polity
71st BPSC (2025),66,Polity
71st BPSC (2025),67,Economics
71st BPSC (2025),68,Polity
71st BPSC (2025),69,Polity
71st BPSC (2025),70,Polity
71st BPSC (2025),71,Modern History
71st BPSC (2025),72,Modern History
71st BPSC (2025),73,Modern History
71st BPSC (2025),74,Modern History
71st BPSC (2025),75,Modern History
71st BPSC (2025),76,Modern History
71st BPSC (2025),77,Modern History
71st BPSC (2025),78,Modern History
71st BPSC (2025),79,Modern History
71st BPSC (2025),80,Modern History
71st BPSC (2025),81,Bihar Special
71st BPSC (2025),82,Bihar Special
71st BPSC (2025),83,Bihar Special
71st BPSC (2025),84,Bihar Special
71st BPSC (2025),85,Bihar Special
71st BPSC (2025),86,Ancient History
71st BPSC (2025),87,Ancient History
71st BPSC (2025),88,Ancient History
71st BPSC (2025),89,Ancient History
71st BPSC (2025),90,Ancient History
71st BPSC (2025),91,Medieval
71st BPSC (2025),92,Medieval
71st BPSC (2025),93,Medieval
71st BPSC (2025),94,Medieval
71st BPSC (2025),95,Bihar Special
71st BPSC (2025),96,Modern History
71st BPSC (2025),97,Bihar Special
71st BPSC (2025),98,Modern History
71st BPSC (2025),99,Bihar Special
71st BPSC (2025),100,Bihar Special
71st BPSC (2025),101,Geography
71st BPSC (2025),102,Geography
71st BPSC (2025),103,Geography
71st BPSC (2025),104,Geography
71st BPSC (2025),105,Geography
71st BPSC (2025),106,Geography
71st BPSC (2025),107,Geography
71st BPSC (2025),108,Geography
71st BPSC (2025),109,Geography
71st BPSC (2025),110,Geography
71st BPSC (2025),111,Geography
71st BPSC (2025),112,Geography
71st BPSC (2025),113,Geography
71st BPSC (2025),114,Bihar Special
71st BPSC (2025),115,Bihar Special
71st BPSC (2025),116,Bihar Special
71st BPSC (2025),117,Bihar Special
71st BPSC (2025),118,Bihar Special
71st BPSC (2025),119,Bihar Special
71st BPSC (2025),120,Bihar Special
71st BPSC (2025),121,Physics
71st BPSC (2025),122,Physics
71st BPSC (2025),123,Physics
71st BPSC (2025),124,Physics
71st BPSC (2025),125,Physics
71st BPSC (2025),126,Physics
71st BPSC (2025),127,Physics
71st BPSC (2025),128,Physics
71st BPSC (2025),129,Physics
71st BPSC (2025),130,Physics
71st BPSC (2025),131,Chemistry
71st BPSC (2025),132,Chemistry
71st BPSC (2025),133,Chemistry
71st BPSC (2025),134,Chemistry
71st BPSC (2025),135,Chemistry
71st BPSC (2025),136,Chemistry
71st BPSC (2025),137,Chemistry
71st BPSC (2025),138,Chemistry
71st BPSC (2025),139,Biology
71st BPSC (2025),140,Biology
71st BPSC (2025),141,Biology
71st BPSC (2025),142,Biology
71st BPSC (2025),143,Biology
71st BPSC (2025),144,Biology
71st BPSC (2025),145,Biology
71st BPSC (2025),146,Biology
71st BPSC (2025),147,Biology
71st BPSC (2025),148,Biology
71st BPSC (2025),149,Biology
71st BPSC (2025),150,Biology
